Authors,Year,Title,Journal,Report Book Conference,Group,Family,Species,Keywords,Suggested Citation,sUAS Platform,sUAS Model,Sensors,Refs Chk
"Li, X., H. Huang, and A.V. Savkin",2022,Autonomous Navigation of an Aerial Drone to Observe a Group of Wild Animals with Reduced Visual Disturbance,IEEE Systems Journal,,Data analysis,,,"disturbance, motion camouflage, drone navigation","Li, X., H. Huang, and A.V. Savkin. 2022. Autonomous Navigation of an Aerial Drone to Observe a Group of Wild Animals with Reduced Visual Disturbance. IEEE Systems Journal https://doi.org/10.1109/JSYST.2021.3135982.",,,,
"Lieber, L., R. Langrock, and W.A.M. Nimmo-Smith",2021,A bird’s-eye view on turbulence: seabird foraging associations with evolving surface flow features,Proceedings of the Royal Society B,,Birds,Laridae,"common tern, Sterna hirundo, sandwich tern, Sterna sandvicensis, Arctic tern,  Sterna paradisaea",Northern Ireland,"Lieber, L., R. Langrock, and W.A.M. Nimmo-Smith. 2021. A bird’s-eye view on turbulence: seabird foraging associations with evolving surface flow features. Proceedings of the Royal Society B 288: 20210592. https://doi.org/10.1098/rspb.2021.0592.",quadcopter,DJI Phantom 3 ,,
"Linchant, J., J. Lisein, J. Semeki, P. Lejeune, and C. Vermeulen",2015,Are unmanned aircraft systems (UASs) the future of wildlife monitoring? A review of accomplishments and challenges,Mammal Review,,"Birds, mammals",,,"review, wildlife monitoring, platforms, sensors, anti-poaching, detection, regulation, ethics, disturbance, ","Linchant, J., J. Lisein, J. Semeki, P. Lejeune, and C. Vermeulen. 2015. Are unmanned aircraft systems (UASs) the future of wildlife monitoring? A review of accomplishments and challenges. Mammal Review 45: 239–252.",,,,
"Linchant, J., P. Lejeune, S. Quevauvillers, C. Vermeulen, Y. Brostaux, S. Lhoest, and A. Michez",2023,Evaluation of an Innovative Rosette Flight Plan Design for Wildlife Aerial Surveys with UAS,Drones,,Mammals,"Giraffidae, Bovidae, Hippopotamidae, Suidae","Congolese giraffe, Giraffa camelopardalis congoensis, African buffalo, Syncerus caffer, hippopotamus, Hippopotamus amphibius, hartebeest, Alcelaphus buselaphus, waterbuck, Kobus ellipsiprymnus, Ugandese kob, Kobus kob, warthog, Phacochoerus africanus","flight planning, data acquisition, population estimate, Congo","Linchant, J., P. Lejeune, S. Quevauvillers, C. Vermeulen, Y. Brostaux, S. Lhoest, and A. Michez. 2023. Evaluation of an Innovative Rosette Flight Plan Design for Wildlife Aerial Surveys with UAS. Drones https://doi.org/10.3390/drones7030208.",fixed-wing,,24-MP Sony Nex7 camera,
"Linchant, J., S. Lhoest, S. Quevauvillers, P. Lejeune, C. Vermeulen, J.S. Ngabinzeke, B.L. Belanganayi, W. Delvingt, and P. Bouche",2018,UAS imagery reveals new survey opportunities for counting hippos,PLoS ONE,,Mammals,Hippopotamidae,"common hippopotamus, Hippopotamus amphibius","population estimate, wildlife monitoring, disturbance, environmental factors, flight parameters, survey protocol, Democratic Republic of Congo","Linchant, J., S. Lhoest, S. Quevauvillers, P. Lejeune,
C. Vermeulen, J.S. Ngabinzeke, B.L. Belanganayi, W. Delvingt, and P. Bouche. 2018. UAS imagery reveals new survey opportunities for counting hippos. PLoS ONE 13 (11): e0206413. https://doi.org/10.1371/journal.pone.0206413.",fixed-wing,Falcon,Sony Nex7 camera,
"Lisein, J., J. Linchant, P. Lejeune, P. Bouché, and C. Vermeulen",2013,Aerial surveys using an Unmanned Aerial System (UAS): comparison of different methods for estimating the surface area of sampling strips,Tropical Conservation Science,,Data analysis,,,"image footprint projection, structure from motion, georeferencing","Lisein, J., J. Linchant, P. Lejeune, P. Bouché, and C. Vermeulen. 2013. Aerial surveys using an Unmanned Aerial System (UAS): comparison of different methods for estimating the surface area of sampling strips. Tropical Conservation Science 6: 506-520.",fixed-wing,Gatewing X100,10-MP Ricoh GR Digital III camera,
"Liu, C.-C., Y.-H. Chen, and H.-L. Wen",2015,Supporting the annual international black-faced spoonbill census with a low-cost unmanned aerial vehicle,,,Birds,Threskiornithidae,"black-faced spoonbill, Platalea minor","species detection, population estimate, Taiwan","Liu, C.-C., Y.-H. Chen, and H.-L. Wen. 2015. Supporting the annual international black-faced spoonbill census with a low-cost unmanned aerial vehicle. Ecological Informatics 30: 170–178..",Fixed-wing,CropCam,Sony NEX-5 14.2-MP camera,
"Liu, Y., V. Shah, A. Borowicz, M. Wethington, N. Strycker, S. Forrest, H. Lynch, and H. Singh",2020,Towards Efficient Machine Learning Methods for Penguin Counting in Unmanned Aerial System Imagery,,2020 IEEE/OES Autonomous Underwater Vehicles Symposium,Birds,Spheniscidae,chinstrap penguin,"machine learning, CNN, species detection, population estimate, disturbance, Antarctica","Liu, Y., V. Shah, A. Borowicz, M. Wethington, N. Strycker, S. Forrest, H. Lynch, and H. Singh. 2020. Towards Efficient Machine Learning Methods for Penguin Counting in Unmanned Aerial System Imagery. 2020 IEEE/OES Autonomous Underwater Vehicles Symposium, Sep 30-Oct 2, 2020, St. Johns, NL, Canada. https://doi.org/10.1109/AUV50043.2020.9267936.",quadcopter,DJI Phantom 4,,
"Livezey, K.B., E. Fernandez-Juricic, and D.T. Blumstein",2016,Database of Bird Flight Initiation Distances to Assist in Estimating Effects from Human Disturbance and Delineating Buffer Areas,Journal of Fish and Wildlife Management,,Birds,,,"disturbance, best practices, behavior","Livezey, K.B., E. Fernandez-Juricic, and D.T. Blumstein. 2016. Database of Bird Flight Initiation Distances to Assist in Estimating Effects from Human Disturbance and Delineating Buffer Areas. Journal of Fish and Wildlife Management https://doi.org/10.3996/082015-JFWM-078.",,,,
"Lo, P.L., D.J. Rogers, J.T.S. Walker, B. H. Abbott, T.F. Vandervoet, A. Kokeny, R.M. Horner, and D.M. Suckling",2021,Comparing Deliveries of Sterile Codling Moth (Lepidoptera: Tortricidae) by Two Types of Unmanned Aerial Systems and from the Ground,Journal of Economic Entomology,,Invertebrates,Tortricidae,"codling moth, Cydia pomonella","pest control, New Zealand","Lo, P.L., D.J. Rogers, J.T.S. Walker, B. H. Abbott, T.F. Vandervoet, A. Kokeny, R.M. Horner, and D.M. Suckling. 2021. Comparing Deliveries of Sterile Codling Moth (Lepidoptera: Tortricidae) by Two Types of Unmanned Aerial Systems and from the Ground. Journal of Economic Entomology https://doi.org/10.1093/jee/toab052.","hexacopter, fixed-wing","DJI Matrice 600, Air Titan",,
"Lobermeier, S., M. Moldenhauer, C.M. Peter, L. Slominski, R.A. Tedesco, M. Ver Meer, J.F. Dwyer, R.E. Harness, and A.H. Stewart",2015,Mitigating avian collision with power lines: a proof of concept for installation of line markers via unmanned aerial vehicle,Journal of Unmanned Vehicle Systems,,Birds,,,"bird strike, risk assessment, infrastructure monitoring,","Lobermeier, S., M. Moldenhauer, C.M. Peter, L. Slominski, R.A. Tedesco, M. Ver Meer, J.F. Dwyer, R.E. Harness, and A.H. Stewart. 2015. Mitigating avian collision with power lines: a proof of concept for installation of line markers via unmanned aerial vehicle. Journal of Unmanned Vehicle Systems 3: 252–258.",Hexacopter,Mikrokopter Hexa XL,,
"Löcken, H., O.W. Fischer, J. Selz, and M. Boppré",2020,‘Drone-Netting’ for Sampling Live Insects,Journal of Insect Science,,Invertebrates,,insects,"sample collection, Germany","Löcken, H., O.W. Fischer, J. Selz, and M. Boppré. 2020. ‘Drone-Netting’ for Sampling Live Insects. ",quadcopter,DJI Mavic Pro Platinum,,
"Lonati, G.L., D.P. Zitterbart, C.A. Miller, P. Corkeron, C.T. Murphy, and M.J. Moore",2022,Investigating the thermal physiology of Critically Endangered North Atlantic right whales Eubalaena glacialis via aerial infrared thermography,Endangered Species Research,,Marine mammals,Balaenidae,"North Atlantic right whale, Eubalaena glacialis","physiology, health, Massachussetts","Lonati, G.L., D.P. Zitterbart, C.A. Miller, P. Corkeron, C.T. Murphy, and M.J. Moore. 2022. Investigating the thermal physiology of Critically Endangered North Atlantic right whales Eubalaena glacialis via aerial infrared thermography. Endangered Species Research https://doi.org/10.3354/esr01193.",Quadcopter,DJI Inspire 1,Zenmuse XT Advanced Radiometry FLIR,
"Lonati, G.L., N.J. Hynes, K.R. Howe, D. Durette-Morin, M.W. Brown, and K.T.A. Davies",2022,Observations of Adult–Calf Nonreproductive Copulatory Behavior in North Atlantic Right Whales (Eubalaena glacialis),Aquatic Mammals,,Marine mammals,Balaenidae,"North Atlantic right whale, Eubalaena glacialis","behavior, Canada","Lonati, G.L., N.J. Hynes, K.R. Howe, D. Durette-Morin, M.W. Brown, and K.T.A. Davies. 2022. Observations of Adult–Calf Nonreproductive Copulatory Behavior in North Atlantic Right Whales (Eubalaena glacialis). Aquatic Mammals 48:639-645. https://doi.org/10.1578/AM.48.6.2022.639.",quadcopter,DJI Matrice 210 V2,"DJI Zenmuse XT2, 16.1-MP Olympus PEN E-PM2 camera",
"Longmore, S.N., R.P. Collins, S. Pfeifer, S.E. Fox, M. Mulero-Pázmány, F. Bezombes, A. Goodwin, M. De Juan Ovelar",2017,Adapting astronomical source detection software to help detect animals in thermal images obtained by unmanned aerial systems,International Journal of Remote Sensing,,Mammals,"Hominidae, Bovidae","human, Homo sapiens, cattle, Bos taurus","species detection, UK","Longmore, S.N., R.P. Collins, S. Pfeifer, S.E. Fox, M. Mulero-Pázmány, F. Bezombes, A. Goodwin, M. De Juan Ovelar, J.H. Knapen, and S.A. Wich. 2017. Adapting astronomical source detection software to help detect animals in thermal images obtained by unmanned aerial systems. International Journal of Remote Sensing https://doi.org/10.1080/01431161.2017.1280639.",Hexacopter,custom-made Y6-multi-rotor,"FLIR, Tau 2 LWIR Thermal Imaging Camera",
"Longmore, S.N., R.P. Collins, S. Pfeifer, S.E. Fox, M. Mulero-Pázmány, F. Bezombes, A. Goodwin, M. De Juan Ovelar, J. H. Knapen, and S.A. Wich",2017,Adapting astronomical source detection software to help detect animals in thermal images obtained by unmanned aerial systems,International Journal of Remote Sensing,,Data analysis,,,"species detection, infrared sensor, ","Longmore, S.N., R.P. Collins, S. Pfeifer, S.E. Fox, M. Mulero-Pázmány, F. Bezombes, A. Goodwin, M. De Juan Ovelar, J. H. Knapen, and S.A. Wich. 2017. Adapting astronomical source detection software to help detect animals in thermal images obtained by unmanned aerial systems. International Journal of Remote Sensing 38(8-10): 2623-2638.",quadcopter,custom-built,Tau 2 LWIR Thermal Imaging Camera,
"López, J.J. and M. Mulero-Pázmány",2019,Drones for Conservation in Protected Areas: Present and Future,Drones,,review,,,"review, wildlife monitoring, sensors, platforms, cost, applications","López, J.J. and M. Mulero-Pázmány. 2019. Drones for Conservation in Protected Areas: Present and Future. Drones 3, 10; doi:10.3390/drones3010010.",,,,
"Lopez, N.A., R.B. Mcauley, and J.J. Meeuwig",2022,Identification of the southernmost aggregation of scalloped hammerhead sharks (Sphyrna lewini) in Australia,Austral Ecology,,Fish,Sphyrnidae,"scalloped hammerhead shark, Sphyrna lewini","species detection, photogrammetry, Australia","Lopez, N.A., R.B. Mcauley, and J.J. Meeuwig. 2022. Identification of the southernmost aggregation of scalloped hammerhead sharks (Sphyrna lewini) in Australia. Austral Ecology https://doi.org/10.1111/aec.13149.",quadcopter,DJI Mavic Pro,,
"López, N.A., R.B. McAuley, S. van Elden, and J.J. Meeuwig",2023,Spatial and temporal characterization of a recurrent scalloped hammerhead shark Sphyrna lewini aggregation using drones,ICES Journal of Marine Science,,Fish,Sphyrnidae,"scalloped hammerhead shark, Sphyrna lewini","species detection, Australia","López, N.A., R.B. McAuley, S. van Elden, and J.J. Meeuwig. 2023. Spatial and temporal characterization of a recurrent scalloped hammerhead shark Sphyrna lewini aggregation using drones. ICES Journal of Marine Science https://doi.org/10.1093/icesjms/fsad153.",,,,
"Lorah, P., A. Ready, and E. Rinn",2018,Using Drones to Generate New Data for Conservation Insights,International Journal of Geospatial and Environmental Research,,Vegetation,,,"review, flight planning, regulations, post-processing, fire behavior, Minnesota","Lorah, P., A. Ready, and E. Rinn. 2018. Using Drones to Generate New Data for Conservation Insights. International Journal of Geospatial and Environmental Research 5: https://dc.uwm.edu/ijger/vol5/iss2/2.",Quadcopter,DJI Inspire 1,DJI Zenmuse X3 camera,
LPO Auvergne,2017,Un drone au secours des Busards cendrés [A drone to the rescue of Montagu's Harriers],,LPO Auvergne.org,Birds,Accipitridae,"Montagu's harrier, Circus pygargus","nest monitoriing, France",LPO Auvergne. 2017. Un drone au secours des Busards cendrés [A drone to the rescue of Montagu's Harriers]. http://www.lpo-auvergne.org/actu/un-drone-au-secours-des-busards-cendres. July 20. [in French w/English translation],quadcopter,,,
"Lu, V., F. Xu, and M.A. Turghan",2021,Przewalski’s Horses (Equus ferus przewalskii) Responses to Unmanned Aerial Vehicles Flights under Semireserve Conditions: Conservation Implication,International Journal of Zoology,,Mammals,Equidae,"Przewalski’s Horse, Equus ferus przewalskii","Disturbance, noise, behavior, reaction distance, best practices, China","Lu, V., F. Xu, and M.A. Turghan. 2021. Przewalski’s Horses (Equus ferus przewalskii) Responses to Unmanned Aerial Vehicles Flights under Semireserve Conditions: Conservation Implication. International Journal of Zoology https://doi.org/10.1155/2021/6687505.",quadcopter,Mavic 2 Zoom,12-MP stock DJI camera,
"Luck, B.D., E.M. Chasen, P.J. Williams, and S.A. Steffan",2021,Drones That Deliver: Pheromone-Based Mating Disruption Deployed via Uncrewed Aerial Vehicles in U.S. Cranberries,Journal of Economic Entomology,,Invertebrates,,,"pest control, Wisconsin","Luck, B.D., E.M. Chasen, P.J. Williams, and S.A. Steffan. 2021. Drones That Deliver: Pheromone-Based Mating Disruption Deployed via Uncrewed Aerial Vehicles in U.S. Cranberries. Journal of Economic Entomology https://doi.org/10.1093/jee/toab068.",octocopter,DJI Spreading Wings S1000,,
"Luque-Fernández, C.R., K. Caballero, G.A. Pauca, L. Villegas, I. Alcelay, and J. Machaca",2021,"Unmanned aerial vehicle, and GIS tools, to monitor the reproduction of the flamingo Phoenicopterus chilensis (Aves: Phoenicopteridae)",Revista de Biología Tropical,,Birds,Phoenicopteridae,"Chilean flamingo, Phoenicopterus chilensis","disturbance, nest monitoring, Peru","Luque-Fernández, C.R., K. Caballero, G.A. Pauca, L. Villegas, I. Alcelay, and J. Machaca. 2021. Unmanned aerial vehicle, and GIS tools, to monitor the reproduction of the flamingo Phoenicopterus chilensis (Aves: Phoenicopteridae). Revista de Biología Tropical 69:xx-xx.  https://doi.org/10.15517/RBT.V69I2.45794.",quadcopter,Phantom 4 Advanced,20-MP camera,
"Lusk, R.M. and W.H. Monday",2017,An Early Survey of Best Practices for the Use of Small Unmanned Aerial Systems by the Electric Utility Industry,,ORNL/TM-2017/93,review,,,"review, best practices, regulations, wind infrastructure, nuclear power plants, mission planning, safety, sensors, ","Lusk, R.M. and W.H. Monday. 2017. An Early Survey of Best Practices for the Use of Small Unmanned Aerial Systems by the Electric Utility Industry. ORNL/TM-2017/93. Prepared by Oak Ridge National Laboratory, Oak Ridge, TN. February.",,,,
"Lyons, M., K. Brandis, C. Callaghan, J. McCann, C. Mills, S. Ryall, and R. Kingsford",2018,"Bird interactions with drones, from individuals to large colonies",Australian Field Ornithology,,Birds,"Threskiornithidae, Accipitridae, Falconidae, Corvidae, Artamidae, Charadriidae, Sturnidae, Meliphagidae, Hirundinidae","straw-necked ibis, Threskiornis spinicollis, Australian white ibis, Threskiornis moluccus, glossy ibis, Plegadis falcinellus, black kite, Milvus migrans, Australian kestrel, Falco cenchroides, wedge-tailed eagle, Aquila audax, Australian magpie, Cracticus tibicen, pied currawong, Strepera graculina, masked lapwing, Vanellus miles, noisy miner, Manorina melanocephala, common myna, Acridotheres tristis, welcome swallow, Hirundo neoxena, fairy martin, Petrochelidon ariel, European starling, Sturnus vulgaris, whistling kite, Haliastur sphenurus ","disturbance, best practices, behavior, nest monitoring, raptors, waterbirds, Australia","Lyons, M., K. Brandis, C. Callaghan, J. McCann, C. Mills, S. Ryall, and R. Kingsford. 2018. Bird interactions with drones, from individuals to large colonies. Australian Field Ornithology 35: 51–56.",Quadcopter,DJI Phantom 3 Pro,,
